회사명,종목코드,업종,주요제품,상장일,대표자명,홈페이지,지역
에스넷,038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수",2000-04-27 00:00:00,"유홍준, 장병강",http://www.snetsystems.co.kr,서울특별시
쌍용정보통신,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","클라우드,시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)",2000-04-14 00:00:00,신장호,http://www.sicc.co.kr,서울특별시
SCI평가정보,036120,기타 정보 서비스업,"신용조회,채권추심,신용조사",1999-12-07 00:00:00,박영수,http://www.sci.co.kr,서울특별시
미래아이앤지,007120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26 00:00:00,김학수,http://www.miraeing.co.kr,서울특별시
인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",넷트워크 관련 장비 및 솔루션,1999-07-30 00:00:00,"원종윤, 손영삼(각자대표이사)",http://www.insunginfo.co.kr,서울특별시
케이티,030200,전기 통신업,"유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",1998-12-23 00:00:00,김영섭,http://www.kt.com,경기도
다우기술,023590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1997-08-27 00:00:00,김윤덕,http://www.daou.co.kr,경기도
디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스,1997-08-06 00:00:00,김영수,http://www.chosun.com,서울특별시
소프트센,032680,기타 정보 서비스업,전산기기 및 정보통신공사,1997-07-18 00:00:00,얼티앤수(데이비드스미스),http://www.softcen.co.kr,서울특별시
휴맥스홀딩스,028080,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지주사업, IT서비스사업",1997-04-16 00:00:00,변대규,http://holdings.humaxdigital.com/,경기도
콤텍시스템,031820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수",1997-02-12 00:00:00,"권창완, 김완호 (각자 대표집행임원)",http://www.comtec.co.kr,서울특별시
키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업",1996-07-03 00:00:00,김영훈,http://www.kidaristudio.com,서울특별시
대신정보통신,020180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","디지털서비스, SI서비스, 산업용 PDA",1995-10-06 00:00:00,"이재원, 최현택 (각자 대표이사)",http://www.dsic.co.kr,광주광역시
신라섬유,001000,가전제품 및 정보통신장비 소매업,부동산,1994-06-28 00:00:00,박재흥,http://sillatextile.co.kr,대구광역시
DB,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06 00:00:00,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
더존비즈온,012510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",응용 소프트웨어 개발 및 공급업,1988-10-28 00:00:00,김용우,http://www.douzone.com,강원특별자치도
